CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Cluster
12346,326,1,77183.6,1,1,5,115,7,About To Sleep,3
12347,3,7,4310.0,5,5,5,555,15,Champions,0
12348,76,4,1797.24,2,4,4,244,10,At Risk,3
12349,19,1,1757.55,4,1,4,414,9,New Customers,3
12350,311,1,334.4,1,1,2,112,4,Lost Customers,1
12352,37,8,2506.04,3,5,5,355,13,Loyal Customers,3
12353,205,1,89.0,1,1,1,111,3,Lost Customers,1
12354,233,1,1079.4,1,1,4,114,6,About To Sleep,1
12355,215,1,459.4,1,1,2,112,4,Lost Customers,1
12356,23,3,2811.43,4,3,5,435,12,Loyal Customers,3
12357,34,1,6207.67,3,1,5,315,9,Potential Loyalists,3
12358,2,2,1168.06,5,2,4,524,11,New Customers,2
12359,58,4,6310.03,3,4,5,345,12,Loyal Customers,3
12360,53,3,2662.06,3,3,5,335,11,Loyal Customers,3
12361,288,1,189.9,1,1,1,111,3,Lost Customers,1
12362,4,10,5226.23,5,5,5,555,15,Champions,0
12363,110,2,552.0,2,2,3,223,7,Hibernating,1
12364,8,4,1313.1,5,4,4,544,13,Champions,3
12365,292,2,641.38,1,2,3,123,6,About To Sleep,1
12367,5,1,168.9,5,1,1,511,7,New Customers,2
12370,52,4,3541.94,3,4,5,345,12,Loyal Customers,3
12371,45,2,1887.96,3,2,4,324,9,Potential Loyalists,3
12372,72,3,1298.04,3,3,4,334,10,Loyal Customers,3
12373,312,1,364.6,1,1,2,112,4,Lost Customers,1
12374,26,1,742.9300000000001,4,1,3,413,8,New Customers,2
12375,11,2,457.5,5,2,2,522,9,New Customers,2
12377,316,2,1628.12,1,2,4,124,7,About To Sleep,1
12378,130,1,4008.62,2,1,5,215,8,About To Sleep,3
12379,82,2,852.24,2,2,3,223,7,Hibernating,3
12380,22,4,2724.81,4,4,5,445,13,Champions,3
12381,5,5,1845.31,5,4,4,544,13,Champions,0
12383,185,5,1850.56,1,4,4,144,9,Cannot Lose Them,3
12384,29,2,585.27,4,2,3,423,9,New Customers,2
12386,338,2,401.9,1,2,2,122,5,Lost Customers,1
12388,16,6,2780.66,4,4,5,445,13,Champions,0
12390,80,1,549.84,2,1,3,213,6,About To Sleep,1
12391,22,1,439.66,4,1,2,412,7,New Customers,2
12393,73,4,1582.6000000000001,2,4,4,244,10,At Risk,3
12394,64,2,1272.48,3,2,4,324,9,Potential Loyalists,3
12395,20,12,3018.63,4,5,5,455,14,Champions,0
12397,36,2,2409.9,3,2,5,325,10,Potential Loyalists,3
12398,46,1,1635.6599999999999,3,1,4,314,8,Potential Loyalists,3
12399,120,4,1108.65,2,4,4,244,10,At Risk,3
12401,304,1,84.3,1,1,1,111,3,Lost Customers,1
12402,324,1,225.6,1,1,1,111,3,Lost Customers,1
12403,50,1,427.7,3,1,2,312,6,Potential Loyalists,2
12405,149,1,1710.39,2,1,4,214,7,About To Sleep,1
12406,23,2,3415.3,4,2,5,425,11,New Customers,3
12407,50,5,1708.1200000000001,3,4,4,344,11,Loyal Customers,3
12408,33,5,2888.55,4,4,5,445,13,Champions,3
12409,79,3,11072.67,2,3,5,235,10,At Risk,3
12410,309,2,693.3299999999999,1,2,3,123,6,About To Sleep,1
12412,75,3,1226.88,2,3,4,234,9,At Risk,3
12413,67,3,758.1,3,3,3,333,9,Loyal Customers,3
12414,218,3,562.41,1,3,3,133,7,About To Sleep,1
12415,25,21,124914.53,4,5,5,455,14,Champions,0
12417,4,9,3649.1,5,5,5,555,15,Champions,0
12418,113,1,668.58,2,1,3,213,6,About To Sleep,1
12420,64,1,600.39,3,1,3,313,7,Potential Loyalists,2
12421,16,4,807.04,4,4,3,443,11,Loyal Customers,3
12422,96,3,803.5600000000001,2,3,3,233,8,At Risk,3
12423,1,8,1859.31,5,5,4,554,14,Champions,0
12424,163,2,1760.96,2,2,4,224,8,Hibernating,3
12425,79,1,777.2,2,1,3,213,6,About To Sleep,1
12426,195,1,582.73,1,1,3,113,5,About To Sleep,1
12427,22,3,825.8,4,3,3,433,10,Loyal Customers,3
12428,26,9,7956.46,4,5,5,455,14,Champions,0
12429,10,4,3750.4,5,4,5,545,14,Champions,0
12430,44,1,256.4,3,1,2,312,6,Potential Loyalists,2
12431,36,15,6419.95,3,5,5,355,13,Loyal Customers,0
12432,43,5,5059.32,3,4,5,345,12,Loyal Customers,3
12433,1,7,13375.87,5,5,5,555,15,Champions,0
12434,85,2,806.14,2,2,3,223,7,Hibernating,3
12435,80,2,7829.89,2,2,5,225,9,Hibernating,3
12436,100,1,509.01,2,1,3,213,6,About To Sleep,1
12437,2,18,4951.41,5,5,5,555,15,Champions,0
